SYMBOL	ENSEMBL
XKR4	ENSG00000206579
RP1	ENSG00000104237
SOX17	ENSG00000164736
MRPL15	ENSG00000137547
LYPLA1	ENSG00000120992
TCEA1	ENSG00000187735
RGS20	ENSG00000147509
ATP6V1H	ENSG00000047249
OPRK1	ENSG00000082556
RB1CC1	ENSG00000023287
ALKAL1	ENSG00000196711
ST18	ENSG00000147488
PCMTD1	ENSG00000168300
SNTG1	ENSG00000147481
RRS1	ENSG00000179041
ADHFE1	ENSG00000147576
MYBL1	ENSG00000185697
VCPIP1	ENSG00000175073
SGK3	ENSG00000104205
MCMDC2	ENSG00000178460
SNHG6	ENSG00000245910
TCF24	ENSG00000261787
PPP1R42	ENSG00000178125
COPS5	ENSG00000121022
CSPP1	ENSG00000104218
ARFGEF1	ENSG00000066777
CPA6	ENSG00000165078
PREX2	ENSG00000046889
SULF1	ENSG00000137573
SLCO5A1	ENSG00000137571
PRDM14	ENSG00000147596
NCOA2	ENSG00000140396
TRAM1	ENSG00000067167
LACTB2	ENSG00000147592
XKR9	ENSG00000221947
EYA1	ENSG00000104313
MSC	ENSG00000178860
TRPA1	ENSG00000104321
KCNB2	ENSG00000182674
TERF1	ENSG00000147601
SBSPON	ENSG00000164764
RPL7	ENSG00000147604
RDH10	ENSG00000121039
STAU2	ENSG00000040341
UBE2W	ENSG00000104343
ELOC	ENSG00000154582
TMEM70	ENSG00000175606
LY96	ENSG00000154589
JPH1	ENSG00000104369
GDAP1	ENSG00000104381
PI15	ENSG00000137558
CRISPLD1	ENSG00000121005
TFAP2B	ENSG00000008196
PKHD1	ENSG00000170927
IL17A	ENSG00000112115
IL17F	ENSG00000112116
MCM3	ENSG00000112118
PAQR8	ENSG00000170915
EFHC1	ENSG00000096093
TRAM2	ENSG00000065308
TMEM14A	ENSG00000096092
GSTA3	ENSG00000174156
KCNQ5	ENSG00000185760
RIMS1	ENSG00000079841
OGFRL1	ENSG00000119900
B3GAT2	ENSG00000112309
SMAP1	ENSG00000112305
SDHAF4	ENSG00000154079
FAM135A	ENSG00000082269
COL9A1	ENSG00000112280
COL19A1	ENSG00000082293
LMBRD1	ENSG00000168216
ADGRB3	ENSG00000135298
PHF3	ENSG00000118482
PTP4A1	ENSG00000112245
KHDRBS2	ENSG00000112232
PRIM2	ENSG00000146143
RAB23	ENSG00000112210
BAG2	ENSG00000112208
BEND6	ENSG00000151917
DST	ENSG00000151914
CCDC115	ENSG00000136710
IMP4	ENSG00000136718
PTPN18	ENSG00000072135
CFC1	ENSG00000136698
ARHGEF4	ENSG00000136002
FAM168B	ENSG00000152102
PLEKHB2	ENSG00000115762
HS6ST1	ENSG00000136720
UGGT1	ENSG00000136731
NEURL3	ENSG00000163121
ARID5A	ENSG00000196843
KANSL3	ENSG00000114982
FER1L5	ENSG00000249715
LMAN2L	ENSG00000114988
CNNM4	ENSG00000158158
CNNM3	ENSG00000168763
ANKRD23	ENSG00000163126
ANKRD39	ENSG00000213337
SEMA4C	ENSG00000168758
FAM178B	ENSG00000168754
COX5B	ENSG00000135940
ACTR1B	ENSG00000115073
ZAP70	ENSG00000115085
TMEM131	ENSG00000075568
VWA3B	ENSG00000168658
CNGA3	ENSG00000144191
INPP4A	ENSG00000040933
COA5	ENSG00000183513
UNC50	ENSG00000115446
MGAT4A	ENSG00000071073
TSGA10	ENSG00000135951
LIPT1	ENSG00000144182
MITD1	ENSG00000158411
MRPL30	ENSG00000185414
LYG2	ENSG00000185674
LYG1	ENSG00000144214
TXNDC9	ENSG00000115514
EIF5B	ENSG00000158417
REV1	ENSG00000135945
AFF3	ENSG00000144218
LONRF2	ENSG00000170500
CHST10	ENSG00000115526
PDCL3	ENSG00000115539
NPAS2	ENSG00000170485
RPL31	ENSG00000071082
TBC1D8	ENSG00000204634
CNOT11	ENSG00000158435
RNF149	ENSG00000163162
CREG2	ENSG00000175874
RFX8	ENSG00000196460
MAP4K4	ENSG00000071054
IL1R2	ENSG00000115590
IL1R1	ENSG00000115594
IL1RL2	ENSG00000115598
IL1RL1	ENSG00000115602
IL18R1	ENSG00000115604
IL18RAP	ENSG00000115607
SLC9A4	ENSG00000180251
SLC9A2	ENSG00000115616
MFSD9	ENSG00000135953
TMEM182	ENSG00000170417
PANTR1	ENSG00000233639
POU3F3	ENSG00000198914
MRPS9	ENSG00000135972
GPR45	ENSG00000135973
TGFBRAP1	ENSG00000135966
FHL2	ENSG00000115641
NCK2	ENSG00000071051
UXS1	ENSG00000115652
TPP2	ENSG00000134900
METTL21C	ENSG00000139780
TEX30	ENSG00000151287
BIVM	ENSG00000134897
ERCC5	ENSG00000134899
GULP1	ENSG00000144366
COL3A1	ENSG00000168542
COL5A2	ENSG00000204262
WDR75	ENSG00000115368
SLC40A1	ENSG00000138449
SLC39A10	ENSG00000196950
TMEFF2	ENSG00000144339
CAVIN2	ENSG00000168497
NABP1	ENSG00000173559
MYO1B	ENSG00000128641
STAT4	ENSG00000138378
