gene	MDSC	NK	Tumor
IL17A	0.006	0.001	0.001
IL1R2	2.771	0.037	0.287
IL1R1	0.007	0.003	0.069
IL18R1	0.077	0.719	0.019
IL18RAP	0.55	1.077	0.096
CD28	0.118	0.506	0.061
CTLA4	0.08	0.104	0.057
ICOS	0.076	0.216	0.044
CXCR2	1.573	0.007	0.118
CXCR1	0.026	0	0.002
CCL20	0	0	0.008
PDCD1	0.018	0.017	0.015
TNFRSF11A	0.002	0.001	0.002
CXCR4	1.129	1.301	0.159
IL20	0	0	0
IL10	0.007	0.003	0.005
TNFSF4	0.003	0.007	0.054
TNFSF18	0	0	0
XCL1	0.021	0.795	0.014
CD244	0.2	0.347	0.025
LY9	0.025	0.29	0.033
SLAMF7	0.014	0.218	0.008
CD48	0.042	0.515	0.023
SLAMF1	0.022	0.016	0.01
CD84	0.566	0.411	0.057
SLAMF6	0.052	0.066	0.025
TGFB2	0.003	0.004	0.005
IL2RA	0.013	0.024	0.006
IL15RA	0.012	0.02	0.012
IL1RN	1.518	0.026	0.196
IL1A	0.408	0.003	0.033
IL1B	3.493	0.082	0.497
CD40	0.008	0.002	0.054
IL13RA1	0.494	0.006	0.099
CD40LG	0.004	0.004	0.001
IL2RG	0.161	0.886	0.052
CXCR3	0.012	0.069	0.012
IL13RA2	0	0	0
IL7	0.001	0.002	0.018
TNFSF10	0.009	0.065	0.007
IL2	0.01	0.015	0.013
IL12A	0.008	0.003	0.002
CD160	0.005	0.111	0.004
CD2	0.102	0.67	0.05
CSF1	0.352	0.008	0.101
CCL19	0.001	0	0.001
TGFBR1	0.198	0.178	0.273
TNFSF15	0	0	0.004
TNFSF8	0.022	0.023	0.015
IFNB1	0	0	0
CSF3R	2.157	0.019	0.191
TNFRSF1B	1.023	0.839	0.13
TNFRSF8	0.002	0.001	0.001
TNFRSF9	0.04	0.421	0.046
TNFRSF25	0.007	0.01	0.004
TNFRSF14	0.006	0.003	0.002
TNFRSF4	0.049	0.038	0.033
TNFRSF18	0.092	0.37	0.036
IL6	0.021	0.008	0.009
KIT	0.025	0.125	0.006
CXCL5	0.011	0.004	0.246
PPBP	0.001	0	0.032
PF4	0.004	0.003	0.007
CXCL3	0.68	0.02	0.781
CXCL1	0.061	0.019	0.168
CXCL2	4.088	0.108	0.816
CXCL9	0.03	0.011	0.16
CXCL10	0.131	0.072	0.296
CXCL13	0.003	0.002	0.002
TGFBR3	0.007	0.012	0.009
CCL24	0.021	0.015	0.019
EPO	0	0	0
GPER1	0.003	0	0
FLT3	0.005	0.002	0.003
IL5RA	0	0	0
CXCL12	0.01	0.006	0.008
IL17RA	0.468	0.377	0.123
CD4	0.035	0.021	0.027
CD27	0.058	0.402	0.038
LTBR	0.142	0.011	0.376
TNFRSF1A	1.036	0.231	0.471
IL11	0.019	0.008	0.343
NECTIN2	0.007	0.003	0.152
PVR	0.049	0.052	0.167
TGFB1	0.607	1.286	0.63
IL16	0.122	0.241	0.023
IFNGR1	0.622	2.199	0.492
IL20RA	0	0.001	0.001
IFNG	0.022	0.472	0.012
CCL25	0.034	0.097	0.071
TNFSF13B	0.049	0.003	0.018
IL12RB1	0.005	0.05	0.043
IL15	0.216	0.02	0.043
CCL22	0.007	0.006	0.006
CX3CL1	0.005	0.002	0.089
CCL17	0.016	0.013	0.033
IL3RA	0.021	0.064	0.008
MSMB	0	0	0
TNFRSF10B	0.019	0.01	0.135
TNFSF11	0.011	0.017	0.008
EPOR	0	0	0.006
CRTAM	0.007	0.053	0.003
NECTIN1	0.004	0.003	0.052
CXCR5	0.03	0.004	0.008
IL10RA	0.474	0.233	0.048
CADM1	0.014	0.008	0.482
IL18	0.012	0.001	0.022
IL20RB	0.005	0.019	0.005
MST1R	0	0	0
CCR4	0.006	0.004	0.002
TGFBR2	0.264	0.482	0.202
CX3CR1	0.011	0.107	0.015
CCR8	0.001	0.001	0
CCR9	0.006	0.004	0.005
XCR1	0.003	0.003	0.006
CCR1	2.066	0.013	0.166
CCR3	0.011	0.001	0.002
CCR2	0.024	0.626	0.013
CCR5	0.042	0.713	0.014
OSM	1.027	0.093	0.092
LIF	0.02	0.008	0.041
IL9R	0.006	0.001	0.001
IL12B	0.001	0	0.001
HAVCR2	0.093	0.005	0.021
HAVCR1	0	0	0
TIMD4	0	0	0
IL4	0.002	0.001	0
IL13	0.001	0	0
IL5	0	0	0
CSF2	0.004	0.01	0.094
IL3	0	0	0
TNFRSF13B	0.054	0.008	0.01
TNFSF13	0	0.001	0.001
TNFSF12	0.007	0.22	0.089
LGALS9	0.31	0.394	0.211
CCL2	0.049	0.02	0.227
CCL7	0.012	0.005	0.008
CCL11	0.001	0.001	0.001
CCL8	0.005	0.005	0.007
CCL1	0.001	0.005	0.001
CCL5	0.279	4.007	0.323
CCL3	0.785	0.496	0.096
CCL4	0.824	1.11	0.111
CSF3	0.058	0.001	0.008
CCR7	0.199	0.088	0.095
CCR10	0	0.002	0.002
IL6ST	0.047	0.05	0.149
TGFB3	0.005	0.018	0.005
