LR	Tumor-NK	Tumor-MDSC	NK-Tumor	NK-MDSC	MDSC-NK	MDSC-Tumor
IL1A-IL1R1	0.018	0.02	0.036	0.005	0.206	0.238
IL1A-IL1R2	0.035	1.402	0.145	1.387	0.222	0.348
IL1B-IL1R1	0.25	0.252	0.076	0.045	1.748	1.781
IL1B-IL1R2	0.267	1.634	0.184	1.426	1.765	1.89
IL1RN-IL1R1	0.1	0.102	0.048	0.016	0.76	0.793
IL18-IL18R1	0.369	0.048	0.369	0.398	0.398	0.048
IL18-IL18RAP	0.548	0.285	0.408	0.635	0.577	0.086
IL2-IL2RA	0	0	0	0	0	0
IL2-IL2RB	0	0	0	0	0	0
IL2-IL2RG	0	0	0	0	0	0
IL4-IL2RG	0	0	0.026	0.081	0.444	0.027
IL4-IL13RA1	0	0	0.05	0.248	0.004	0.051
IL7-IL7R	0.084	0.06	0.028	0.052	0.076	0.028
IL7-IL2RG	0.452	0.09	0.027	0.082	0.444	0.026
IL13-IL13RA1	0.053	0.296	0.053	0.25	0.25	0.296
IL13-IL13RA2	0	0	0	0	0	0
IL13-IL2RG	0.492	0.13	0.029	0.084	0.69	0.273
IL15-IL15RA	0.016	0.012	0.016	0.016	0.016	0.012
IL15-IL2RB	1.358	0.084	0.068	0.088	1.358	0.064
IL15-IL2RG	0.449	0.087	0.036	0.09	0.449	0.032
IL3-IL3RA	0.036	0.015	0.036	0.043	0.043	0.015
IL3-CSF2RB	0.011	0.797	0.094	0.825	0.018	0.073
IL5-IL5RA	0	0	0	0	0	0
IL5-CSF2RB	0	0	0	0	0	0
CSF2-CSF2RB	0.054	0.84	0.068	0.798	0.009	0.064
CSF2-CSF2RA	0.058	0.363	0.034	0.321	0.013	0.03
IL6-IL6ST	0.03	0.028	0.078	0.028	0.036	0.085
IL11-IL6ST	0.196	0.195	0.078	0.028	0.034	0.084
CSF3-CSF3R	0.105	1.174	0.105	1.088	1.088	1.174
IL12A-IL12RB1	0.026	0.004	0.023	0.004	0.029	0.025
IL12B-IL12RB1	0.026	0.003	0	0	0.026	0.022
LIF-LIFR	0.022	0.028	0.105	0.012	0.012	0.111
LIF-IL6ST	0.046	0.044	0.078	0.028	0.035	0.084
OSM-OSMR	0.047	0.048	0.072	0.048	0.514	0.538
OSM-IL6ST	0.071	0.07	0.121	0.07	0.538	0.588
IL10-IL10RA	0.119	0.24	0.026	0.238	0.12	0.028
IL20-IL20RA	0	0	0	0	0	0
IL20-IL20RB	0	0	0	0	0	0
IL16-CD4	0.269	0.032	0.132	0.142	0.318	0.072
IL17A-IL17RA	0.189	0.235	0.062	0.235	0.192	0.064
IFNB1-LIFR	0	0	0	0	0	0
IFNG-IFNGR1	1.345	0.557	1.345	1.41	1.41	0.557
CD40LG-CD40	0.002	0.005	0.029	0.006	0.003	0.029
LTB-LTBR	0.194	0.259	0.194	0.076	0.076	0.259
TNF-TNFRSF1A	0.116	0.519	0.236	0.518	0.116	0.236
TNF-TNFRSF1B	0.42	0.512	0.066	0.512	0.42	0.066
TNFRSF14-BTLA	0.007	0.021	0.012	0.022	0.01	0.014
CADM1-CRTAM	0.268	0.244	0.005	0.007	0.034	0.009
CCL1-CCR8	0.001	0.001	0	0	0.001	0
CCL11-CCR3	0.001	0.006	0.002	0.006	0.001	0.002
CCL17-CCR4	0.019	0.02	0.007	0.01	0.01	0.009
CCL19-CCR7	0.044	0.1	0	0	0.044	0.048
CCL2-CCR2	0.317	0.016	0	0	0	0
CCL20-CCR6	0.005	0.007	0	0	0	0
CCL22-CCR4	0.005	0.006	0.004	0.006	0.005	0.005
CCL24-CCR3	0.01	0.015	0.009	0.013	0.011	0.012
CCL25-CCR9	0.038	0.038	0.051	0.052	0.019	0.02
CCL3-CCR1	0.054	1.081	0.331	1.281	0.399	0.476
CCL3-CCR5	0.404	0.069	0.255	0.269	0.749	0.4
CCL4-CCR5	0.412	0.076	0.562	0.576	0.768	0.419
CCL5-CCR1	0.168	1.194	2.086	3.036	0.146	0.223
CCL5-CCR3	0.162	0.167	2.004	2.009	0.14	0.141
CCL5-CCR5	0.518	0.182	2.01	2.024	0.496	0.147
CCL7-CCR1	0.01	1.037	0.086	1.035	0.013	0.089
CCL7-CCR3	0.005	0.01	0.004	0.008	0.007	0.007
CCL7-CCR2	0.317	0.016	0.009	0.015	0.319	0.013
CCL8-CCR3	0.004	0.009	0.004	0.008	0.003	0.004
CD160-TNFRSF14	0.004	0.005	0.056	0.059	0.004	0.004
CD274-PDCD1	0.196	0.196	0.118	0.12	0.363	0.362
CD274-CD80	0.192	0.551	0.137	0.474	0.359	0.381
CD2-CD48	0.288	0.052	0.264	0.274	0.316	0.07
CD244-CD48	0.27	0.034	0.185	0.194	0.358	0.112
CD70-CD27	0.202	0.03	0	0	0	0
CD80-CD28	0.28	0.085	0.035	0.064	0.617	0.394
CD80-CTLA4	0.078	0.066	0.033	0.044	0.416	0.392
CD84-CD84	0.234	0.312	0.234	0.488	0.488	0.312
CD86-CD28	0.26	0.066	0.035	0.064	0.282	0.059
CD86-CTLA4	0.06	0.048	0.033	0.044	0.08	0.057
CSF1-CSF1R	0.053	0.143	0.017	0.096	0.178	0.189
CX3CL1-CX3CR1	0.098	0.05	0.009	0.006	0.056	0.01
CXCL1-CXCR1	0	0.097	0.01	0.022	0	0.032
CXCL1-CXCR2	0.088	0.87	0.068	0.796	0.034	0.09
CXCL10-CXCR3	0.182	0.154	0.042	0.042	0.1	0.072
CXCL12-CXCR4	0.654	0.569	0.082	0.568	0.655	0.084
CXCL13-CXCR5	0.003	0.016	0.005	0.016	0.004	0.005
CXCL2-CXCR2	0.412	1.194	0.113	0.841	2.047	2.103
CXCL3-CXCR2	0.394	1.177	0.069	0.796	0.344	0.399
CXCL5-CXCR2	0.126	0.909	0.061	0.788	0.009	0.064
CXCL9-CXCR3	0.114	0.086	0.012	0.012	0.05	0.021
EPO-EPOR	0	0	0	0	0	0
HAVCR1-HAVCR1	0	0	0	0	0	0
LGALS9-HAVCR2	0.108	0.152	0.208	0.244	0.158	0.166
LTA-TNFRSF1A	0.116	0.519	0.239	0.521	0.119	0.239
LTA-TNFRSF14	0.002	0.004	0.005	0.007	0.005	0.005
LY9-LY9	0.161	0.029	0.161	0.158	0.158	0.029
MSMB-MST1R	0	0	0	0	0	0
NECTIN1-CD96	0.129	0.038	0.007	0.013	0.105	0.007
NECTIN2-CD226	0.122	0.08	0.005	0.006	0.049	0.007
NECTIN2-TIGIT	0.092	0.077	0.005	0.002	0.02	0.007
NECTIN3-TIGIT	0.062	0.048	0.006	0.003	0.018	0.006
PDCD1LG2-PDCD1	0.2	0.2	0.056	0.058	0.051	0.05
PF4-CXCR3	0.038	0.01	0.007	0.007	0.037	0.008
PPBP-CXCR2	0.02	0.802	0	0	0.004	0.06
PVR-TIGIT	0.1	0.084	0.03	0.027	0.04	0.028
PVR-CD96	0.186	0.095	0.031	0.038	0.128	0.03
SLAMF1-SLAMF1	0.013	0.016	0.013	0.019	0.019	0.016
SLAMF6-SLAMF6	0.046	0.038	0.046	0.059	0.059	0.038
SLAMF7-SLAMF7	0.113	0.011	0.113	0.116	0.116	0.011
TGFB1-TGFBR1	0.404	0.414	0.78	0.742	0.392	0.44
TGFB2-TGFBR2	0.244	0.134	0.103	0.134	0.242	0.103
TGFB3-TGFBR3	0.009	0.006	0.013	0.012	0.009	0.007
TIMD4-HAVCR1	0	0	0	0	0	0
