LR	Tumor-NK	Tumor-MDSC	NK-Tumor	NK-MDSC	MDSC-NK	MDSC-Tumor
IL1A-IL1R1	1	1	1	1	0	0
IL1A-IL1R2	1	0	1	0	1	1
IL1B-IL1R1	1	1	1	1	0	0
IL1B-IL1R2	1	0	1	0	0	0
IL1RN-IL1R1	1	1	1	1	0	0
IL18-IL18R1	0	1	0	0	0	1
IL18-IL18RAP	0	1	1	0	0	1
IL2-IL2RA	1	1	1	1	1	1
IL2-IL2RB	1	1	1	1	1	1
IL2-IL2RG	1	1	1	1	1	1
IL4-IL2RG	1	1	0.906	0.906	0	0.906
IL4-IL13RA1	1	1	0.906	0	0.906	0.906
IL7-IL7R	0	0.191	1	0.998	0	1
IL7-IL2RG	0	1	1	1	0	1
IL13-IL13RA1	1	0	1	0	0	0
IL13-IL13RA2	1	1	1	1	1	1
IL13-IL2RG	0	1	1	1	0	1
IL15-IL15RA	0.033	0.998	0.033	0	0	0.998
IL15-IL2RB	0	1	1	1	0	1
IL15-IL2RG	0	1	1	1	0	1
IL3-IL3RA	0.302	1	0.302	0	0	1
IL3-CSF2RB	1	0	1	0	1	1
IL5-IL5RA	1	1	1	1	1	1
IL5-CSF2RB	1	1	1	1	1	1
CSF2-CSF2RB	1	0	1	0	1	1
CSF2-CSF2RA	1	0	1	0	1	1
IL6-IL6ST	1	1	0	1	0.999	0
IL11-IL6ST	0	0	0.005	1	1	0
CSF3-CSF3R	1	0	1	0	0	0
IL12A-IL12RB1	0	1	0.001	1	0	0
IL12B-IL12RB1	0	0.481	1	1	0	0
LIF-LIFR	1	0.998	0	1	1	0
LIF-IL6ST	0.024	0.308	0	1	1	0
OSM-OSMR	1	1	1	1	0	0
OSM-IL6ST	1	1	1	1	0	0
IL10-IL10RA	1	0	1	0	1	1
IL20-IL20RA	1	1	1	1	1	1
IL20-IL20RB	1	1	1	1	1	1
IL16-CD4	0	1	1	1	0	1
IL17A-IL17RA	0.062	0	1	0	0.004	1
IFNB1-LIFR	1	1	1	1	1	1
IFNG-IFNGR1	0	1	0	0	0	1
CD40LG-CD40	1	1	0	1	1	0
LTB-LTBR	0	0	0	1	1	0
TNF-TNFRSF1A	0.891	0	0.976	0	0.982	0.982
TNF-TNFRSF1B	0	0	0.976	0	0	0.982
TNFRSF14-BTLA	1	0	0.935	0	1	0.565
CADM1-CRTAM	0	0	1	1	1	1
CCL1-CCR8	0.086	0.086	1	1	0.067	1
CCL11-CCR3	0.564	0	0.515	0	0.753	0.518
CCL17-CCR4	0	0	0.999	0.821	0.837	0.972
CCL19-CCR7	0.394	0	1	1	0.365	0.365
CCL2-CCR2	0	0.978	1	1	1	1
CCL20-CCR6	0	0	1	1	1	1
CCL22-CCR4	0.303	0.113	0.914	0.057	0.22	0.284
CCL24-CCR3	0.834	0.011	0.993	0.049	0.725	0.284
CCL25-CCR9	0.097	0.091	0	0	1	1
CCL3-CCR1	1	0	1	0	1	1
CCL3-CCR5	0.947	1	1	1	0	0.996
CCL4-CCR5	1	1	0.097	0	0	1
CCL5-CCR1	1	1	0	0	1	1
CCL5-CCR3	1	1	0	0	1	1
CCL5-CCR5	1	1	0	0	1	1
CCL7-CCR1	1	0	1	0	1	1
CCL7-CCR3	0.864	0	0.999	0.023	0.108	0.161
CCL7-CCR2	0	1	1	1	0	1
CCL8-CCR3	0.924	0	0.911	0	1	0.912
CD160-TNFRSF14	1	1	0	0	1	1
CD274-PDCD1	1	1	1	1	0	0
CD274-CD80	1	0	1	0	1	0.594
CD2-CD48	0	1	0	0	0	1
CD244-CD48	0	1	1	1	0	1
CD70-CD27	0	0.173	1	1	1	1
CD80-CD28	0.838	1	1	1	0	0
CD80-CTLA4	1	1	1	1	0	0
CD84-CD84	1	1	1	0	0	1
CD86-CD28	0	1	1	1	0	1
CD86-CTLA4	0.109	1	1	1	0	0.521
CSF1-CSF1R	1	0	1	1	0	0
CX3CL1-CX3CR1	0	0	1	1	0	1
CXCL1-CXCR1	1	0	1	1	1	0.998
CXCL1-CXCR2	1	0	1	0	1	1
CXCL10-CXCR3	0	0	1	1	0	1
CXCL12-CXCR4	0	0	1	0	0	1
CXCL13-CXCR5	0.99	0	0.997	0	1	0.993
CXCL2-CXCR2	1	1	1	1	0	0
CXCL3-CXCR2	1	0	1	0	1	1
CXCL5-CXCR2	1	0	1	0	1	1
CXCL9-CXCR3	0	0	1	1	0	1
EPO-EPOR	1	1	1	1	1	1
HAVCR1-HAVCR1	1	1	1	1	1	1
LGALS9-HAVCR2	1	1	0	0	1	1
LTA-TNFRSF1A	1	0	1	0	1	1
LTA-TNFRSF14	0.999	0.82	0.168	0	0.098	0.163
LY9-LY9	0	1	0	0	0	1
