LR	Tumor-NK	Tumor-MDSC	NK-Tumor	NK-MDSC	MDSC-NK	MDSC-Tumor
IL1A-IL1R1	0	0	0	0	0.206	0.238
IL1A-IL1R2	0	1.402	0	1.387	0	0
IL1B-IL1R1	0	0	0	0	1.748	1.781
IL1B-IL1R2	0	1.634	0	1.426	1.765	1.89
IL1RN-IL1R1	0	0	0	0	0.76	0.793
IL18-IL18R1	0.369	0	0.369	0.398	0.398	0
IL18-IL18RAP	0.548	0	0	0.635	0.577	0
IL2-IL2RA	0	0	0	0	0	0
IL2-IL2RB	0	0	0	0	0	0
IL2-IL2RG	0	0	0	0	0	0
IL4-IL2RG	0	0	0	0	0.444	0
IL4-IL13RA1	0	0	0	0.248	0	0
IL7-IL7R	0.084	0	0	0	0.076	0
IL7-IL2RG	0.452	0	0	0	0.444	0
IL13-IL13RA1	0	0.296	0	0.25	0.25	0.296
IL13-IL13RA2	0	0	0	0	0	0
IL13-IL2RG	0.492	0	0	0	0.69	0
IL15-IL15RA	0.016	0	0.016	0.016	0.016	0
IL15-IL2RB	1.358	0	0	0	1.358	0
IL15-IL2RG	0.449	0	0	0	0.449	0
IL3-IL3RA	0	0	0	0.043	0.043	0
IL3-CSF2RB	0	0.797	0	0.825	0	0
IL5-IL5RA	0	0	0	0	0	0
IL5-CSF2RB	0	0	0	0	0	0
CSF2-CSF2RB	0	0.84	0	0.798	0	0
CSF2-CSF2RA	0	0.363	0	0.321	0	0
IL6-IL6ST	0	0	0.078	0	0	0.085
IL11-IL6ST	0.196	0.195	0.078	0	0	0.084
CSF3-CSF3R	0	1.174	0	1.088	1.088	1.174
IL12A-IL12RB1	0.026	0	0.023	0	0.029	0.025
IL12B-IL12RB1	0.026	0	0	0	0.026	0.022
LIF-LIFR	0	0	0.105	0	0	0.111
LIF-IL6ST	0.046	0	0.078	0	0	0.084
OSM-OSMR	0	0	0	0	0.514	0.538
OSM-IL6ST	0	0	0	0	0.538	0.588
IL10-IL10RA	0	0.24	0	0.238	0	0
IL20-IL20RA	0	0	0	0	0	0
IL20-IL20RB	0	0	0	0	0	0
IL16-CD4	0.269	0	0	0	0.318	0
IL17A-IL17RA	0	0.235	0	0.235	0.192	0
IFNB1-LIFR	0	0	0	0	0	0
IFNG-IFNGR1	1.345	0	1.345	1.41	1.41	0
CD40LG-CD40	0	0	0.029	0	0	0.029
LTB-LTBR	0.194	0.259	0.194	0	0	0.259
TNF-TNFRSF1A	0	0.519	0	0.518	0	0
TNF-TNFRSF1B	0.42	0.512	0	0.512	0.42	0
TNFRSF14-BTLA	0	0.021	0	0.022	0	0
CADM1-CRTAM	0.268	0.244	0	0	0	0
CCL1-CCR8	0	0	0	0	0	0
CCL11-CCR3	0	0.006	0	0.006	0	0
CCL17-CCR4	0.019	0.02	0	0	0	0
CCL19-CCR7	0	0.1	0	0	0	0
CCL2-CCR2	0.317	0	0	0	0	0
CCL20-CCR6	0.005	0.007	0	0	0	0
CCL22-CCR4	0	0	0	0	0	0
CCL24-CCR3	0	0.015	0	0.013	0	0
CCL25-CCR9	0	0	0.051	0.052	0	0
CCL3-CCR1	0	1.081	0	1.281	0	0
CCL3-CCR5	0	0	0	0	0.749	0
CCL4-CCR5	0	0	0	0.576	0.768	0
CCL5-CCR1	0	0	2.086	3.036	0	0
CCL5-CCR3	0	0	2.004	2.009	0	0
CCL5-CCR5	0	0	2.01	2.024	0	0
